name,value
SuiteMask_OS,272
SystemDevice_OS,\Device\HarddiskVolume2
SystemDirectory_OS,C:\Windows\system32
SystemDrive_OS,C:
TotalVirtualMemorySize_OS,9489260
TotalVisibleMemorySize_OS,8178540
Version_OS,10.0.14393
WindowsDirectory_OS,C:\Windows
AssignmentType_Softwares,1
Caption_Softwares,Office 16 Click-to-Run Extensibility Component
Description_Softwares,Office 16 Click-to-Run Extensibility Component
IdentifyingNumber_Softwares,{90160000-008C-0000-1000-0000000FF1CE}
InstallDate_Softwares,20170114
InstallSource_Softwares,c:\program files\microsoft office\root\integration\
InstallState_Softwares,5
Language_Softwares,0
LocalPackage_Softwares,c:\Windows\Installer\117112e8.msi
Name_Softwares,Office 16 Click-to-Run Extensibility Component
PackageCache_Softwares,c:\Windows\Installer\117112e8.msi
PackageCode_Softwares,{A152560C-93FC-4257-9DD2-C9875FC79932}
PackageName_Softwares,C2RInt.16.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,16.0.7571.2109
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Office 16 Click-to-Run Localization Component
Description_Softwares,Office 16 Click-to-Run Localization Component
IdentifyingNumber_Softwares,{90160000-008C-040D-1000-0000000FF1CE}
InstallDate_Softwares,20170114
InstallSource_Softwares,c:\program files\microsoft office\root\integration\
InstallState_Softwares,5
Language_Softwares,1037
LocalPackage_Softwares,c:\Windows\Installer\1171130f.msi
Name_Softwares,Office 16 Click-to-Run Localization Component
PackageCache_Softwares,c:\Windows\Installer\1171130f.msi
PackageCode_Softwares,{800A7D62-9B03-4DD7-8255-037C2A0A0FE4}
PackageName_Softwares,C2RIntLoc.he-il.16.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,16.0.7571.2109
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Office 16 Click-to-Run Licensing Component
Description_Softwares,Office 16 Click-to-Run Licensing Component
IdentifyingNumber_Softwares,{90160000-007E-0000-1000-0000000FF1CE}
InstallDate_Softwares,20170114
InstallSource_Softwares,c:\program files\microsoft office\root\integration\
InstallState_Softwares,5
Language_Softwares,0
LocalPackage_Softwares,c:\Windows\Installer\1171131c.msi
Name_Softwares,Office 16 Click-to-Run Licensing Component
PackageCache_Softwares,c:\Windows\Installer\1171131c.msi
PackageCode_Softwares,{7E836A79-AD63-48B0-A474-8EFF0CE99C88}
PackageName_Softwares,SPPRedist.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,16.0.7571.2109
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Visual C++ IDE Core Professional Plus Resource Package
Description_Softwares,Visual C++ IDE Core Professional Plus Resource Package
IdentifyingNumber_Softwares,{1DC85000-B0F8-325F-AD01-2770D36517D5}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{1DC85000-B0F8-325F-AD01-2770D36517D5}v14.0.25420\packages\VisualC_D14\VC_IDE.Core.Pro.Plus.Res\jpn\
InstallState_Softwares,5
Language_Softwares,1041
LocalPackage_Softwares,C:\Windows\Installer\12a305a7.msi
Name_Softwares,Visual C++ IDE Core Professional Plus Resource Package
PackageCache_Softwares,C:\Windows\Installer\12a305a7.msi
PackageCode_Softwares,{B060788A-5A06-4616-A13C-9C364155CB7D}
PackageName_Softwares,VC_IDE.Core.Pro.Plus.Res.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.25420
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft Visual Studio 2015 Update 3 Performance Debugger Web Views
Description_Softwares,Microsoft Visual Studio 2015 Update 3 Performance Debugger Web Views
IdentifyingNumber_Softwares,{A5C0F000-F324-46D3-BBD9-5F6AD1886B12}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{A5C0F000-F324-46D3-BBD9-5F6AD1886B12}v14.0.25420\packages\PerfDebuggerWebViewsCore\x86\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12359fde.msi
Name_Softwares,Microsoft Visual Studio 2015 Update 3 Performance Debugger Web Views
PackageCache_Softwares,C:\Windows\Installer\12359fde.msi
PackageCode_Softwares,{FDCE69A4-707A-49E1-82B5-54FBA4D3A3A3}
PackageName_Softwares,PerfDebuggerWebViews_net.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.25420
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack
Description_Softwares,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack
IdentifyingNumber_Softwares,{6A0C6700-EA93-372C-8871-DCCF13D160A4}
InstallDate_Softwares,20170208
InstallSource_Softwares,C:\ProgramData\Package Cache\{6A0C6700-EA93-372C-8871-DCCF13D160A4}v4.5.50932\packages\netfx_451mtpack\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\11d1fcfd.msi
Name_Softwares,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack
PackageCache_Softwares,C:\Windows\Installer\11d1fcfd.msi
PackageCode_Softwares,{D6098F6F-BA25-46AC-8358-CEBEA010E3BA}
PackageName_Softwares,netfx_451mtpack.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,4.5.50932
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Visual C++ Library CRT X86 Redist Package
Description_Softwares,Visual C++ Library CRT X86 Redist Package
IdentifyingNumber_Softwares,{15435A00-F7BA-31E7-B83D-AE7A3AF1A304}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{15435A00-F7BA-31E7-B83D-AE7A3AF1A304}v14.0.24210\packages\VisualC_D14\VC_CRT.Redist.X86\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12359ca2.msi
Name_Softwares,Visual C++ Library CRT X86 Redist Package
PackageCache_Softwares,C:\Windows\Installer\12359ca2.msi
PackageCode_Softwares,{3FC85937-F732-436C-BBE9-29C91BDAD6F8}
PackageName_Softwares,VC_CRT.Redist.X86.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.24210
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft SQL Server Compact 4.0 SP1 x64 ENU
Description_Softwares,Microsoft SQL Server Compact 4.0 SP1 x64 ENU
HelpLink_Softwares,http://go.microsoft.com/fwlink/?LinkId=81488
IdentifyingNumber_Softwares,{78909610-D229-459C-A936-25D92283D3FD}
InstallDate_Softwares,20170209
InstallLocation_Softwares,C:\Program Files\Microsoft SQL Server Compact Edition\
InstallSource_Softwares,C:\Program Files (x86)\Microsoft SQL Server Compact Edition\Installer\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12a3040b.msi
Name_Softwares,Microsoft SQL Server Compact 4.0 SP1 x64 ENU
PackageCache_Softwares,C:\Windows\Installer\12a3040b.msi
PackageCode_Softwares,{22846EBD-F1FF-4067-B118-A5D71D3E938B}
PackageName_Softwares,SSCERuntime_x64-ENU.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,4.0.8876.1
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft VisualStudio JavaScript Language Service
Description_Softwares,Microsoft VisualStudio JavaScript Language Service
IdentifyingNumber_Softwares,{42C14710-7126-489A-8899-C73AE77E5345}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Microsoft\VisualStudioSecondaryInstaller\14.0\installers\JavaScriptLanguageService_Hidden_14.0.25527\en\0\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12e5df5d.msi
Name_Softwares,Microsoft VisualStudio JavaScript Language Service
PackageCache_Softwares,C:\Windows\Installer\12e5df5d.msi
PackageCode_Softwares,{581E75C8-A99D-4D8E-9473-D39E7C5447F7}
PackageName_Softwares,JavaScript_LanguageService.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.25527
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)
Description_Softwares,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)
IdentifyingNumber_Softwares,{290FC320-2F5A-329E-8840-C4193BD7A9EE}
InstallDate_Softwares,20170208
InstallSource_Softwares,C:\ProgramData\Package Cache\{290FC320-2F5A-329E-8840-C4193BD7A9EE}v4.5.51209\packages\netfx_452mtpack\enu\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\11d1fd0f.msi
Name_Softwares,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)
PackageCache_Softwares,C:\Windows\Installer\11d1fd0f.msi
PackageCode_Softwares,{02C7B14C-82A7-4192-8661-B6CF63C95A94}
PackageName_Softwares,netfx_452mtpacklp.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,4.5.51209
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package
